candidate_id,public_name_or_handle,public_role_org_if_explicit,source_url,source_date,job_evidence,recurrence_evidence,likely_role,product_fit_note,capability_risk,diversity_cell,reachability_route,personalized_hook,recommended_ask,need_0_5,fit_0_5,reach_0_5,recurrence_learning_0_5,diversity_0_5,weighted_score,priority_wave,authorization_status
DP-01,InterWorks (blog authors),consultancy (data/analytics),https://interworks.com/blog/2026/06/26/building-an-internal-app-to-host-and-share-html-files/,2026-06,built a bespoke internal app to host/share AI-generated HTML with colleagues (E-107),two blog posts on the same problem May+Jun 2026 (E-107 E-108),creator/champion,JTBD-15 exact; their stack is Box-centric — Confluence angle to be tested,artifacts calling external APIs blocked by CSP,consultancy / analytics / US,company blog + site contact,their two posts describe exactly the gap we serve — hosting AI-generated HTML with access control,20-min walkthrough of their internal app's use cases,5,4,4,5,4,4.45,1,DISCOVERY ONLY — DO NOT CONTACT
DP-02,author of qaq-p/2806119 (handle not retrievable this session),unknown,https://community.atlassian.com/forums/Confluence-questions/How-to-upload-a-HTML-files-project-folder-with-sub-pages-and/qaq-p/2806119,unknown (thread ID ~2024-25 era),wants to upload a multi-file HTML project folder with sub-pages+images intact (D-02),thread lists multiple attempted workarounds,creator,JTBD-01 exact-match,low,unknown persona,Atlassian Community profile via thread (handle visible on page; fetch-blocked here),their exact folder-with-subpages ask is our input model,walkthrough of the artifact they tried to share,5,5,2,3,3,3.90,1,DISCOVERY ONLY — DO NOT CONTACT
DP-03,author of qaq-p/3240107 (handle not retrievable),unknown,https://community.atlassian.com/forums/Confluence-questions/Adding-HTML-Directly-in-Confluence-Pages/qaq-p/3240107,recent (2026-era thread ID),asked why direct HTML on Cloud pages disappeared; accepted sandboxed-app route (D-01),one thread among a recent cluster of identical asks,creator,JTBD-02; probe what content they needed,possible page-DOM want (disqualifier),unknown persona,Atlassian Community profile via thread,they asked the question our category answers,20-min problem interview,4,4,2,3,3,3.45,1,DISCOVERY ONLY — DO NOT CONTACT
DP-04,author of SaaS React-report thread (D-08),SaaS product team (self-described),https://community.atlassian.com/forums/Confluence-questions/ (thread: publish React-generated report to customers' Confluence — URL in evidence log D-08),unknown,product generates React report; wants it live in customers' Confluence (E-021/E-032),described an attempted implementation,creator/champion,JTBD-04/18; needs API publish (roadmap),cross-tenant + API auth needs,B2B SaaS vendor persona,Atlassian Community profile via thread,they already tried pushing generated HTML into Confluence,walkthrough + API-publish beta interest,5,3,2,4,4,3.70,1,DISCOVERY ONLY — DO NOT CONTACT
DP-05,author of S3-docs thread (E-050),unknown (docs pipeline owner),see 01_evidence_log.csv E-050 canonical_url,unknown,toolchain generates HTML docs to S3; wants auto-render in Confluence,pipeline implies recurring publishes,creator,JTBD-04/20,auto-sync needs API path,devops/docs persona,Atlassian Community profile via thread,their S3-docs-to-Confluence ask maps to our publish flow,20-min workflow interview,4,4,2,4,3,3.55,1,DISCOVERY ONLY — DO NOT CONTACT
DP-06,YouTube channel of watch?v=4eDjed5IO0o (channel name not retrievable),tutorial creator,https://www.youtube.com/watch?v=4eDjed5IO0o,2026-06-02,publishes current tutorials on embedding HTML in Confluence,part of a 2026 tutorial cluster (qyKcyf8GQgQ etc.),champion,teaches the exact category; audience = our persona,none,content-creator persona,YouTube channel page,their 2026 embed-HTML guide could feature folder publishing,offer early access for review (no payment),3,4,4,4,3,3.55,1,DISCOVERY ONLY — DO NOT CONTACT
DP-07,author of qaq-p/2619230 (static html content),unknown,https://community.atlassian.com/forums/Confluence-questions/Confluence-Cloud-static-html-content/qaq-p/2619230,unknown,wants static HTML content rendered on Cloud without external hosting (D-03),unknown,creator,JTBD-01/02,low,unknown,Atlassian Community profile via thread,they wanted HTML+CSS+JS without maintaining external hosting,problem interview,4,4,2,2,2,3.20,2,DISCOVERY ONLY — DO NOT CONTACT
DP-08,author of qaq-p/2955052 (unknown macro html),Confluence admin (migration context),https://community.atlassian.com/forums/Confluence-questions/unknown-macro-html/qaq-p/2955052,~2025,migration left pages showing unknown-macro errors (E-002),migration projects are multi-month,admin,JTBD-03; self-contained content only,DC-parity expectations (E-092),admin/migration persona,Atlassian Community profile via thread,their broken-pages-after-migration story,walkthrough of one broken page,4,3,2,3,4,3.35,2,DISCOVERY ONLY — DO NOT CONTACT
DP-09,author of E-095 attachments-as-src thread,unknown,https://community.atlassian.com/forums/Confluence-questions/Using-attached-data-as-src-for-CSS-and-JS-inside-HTML-Macro/qaq-p/1522260,historical,asked for multi-file CSS/JS referencing from a macro,unknown,creator,JTBD-01 precursor need,historical — need may be stale,unknown,Atlassian Community profile via thread,their multi-file ask predates any real solution,check if need persists; artifact walkthrough,3,5,2,2,2,3.10,2,DISCOVERY ONLY — DO NOT CONTACT
DP-10,author of E-035 native decision-tree request,support/KB owner (self-described context),see 01_evidence_log.csv E-035 canonical_url,recent,asked for native branching guides for SOPs/support articles,SOP maintenance is recurring,creator,JTBD-05 exact,creator may be non-technical — needs template,support/KB persona,Atlassian Community profile via thread,their SOP branching ask,test a decision-tree sample bundle,4,5,2,3,4,3.80,1,DISCOVERY ONLY — DO NOT CONTACT
