evidence_id,captured_at,source_type,canonical_url,title,published_at,deployment,author_type,public_role,likely_persona,artifact_type,verbatim_excerpt_max_25_words,original_problem_language,normalized_jtbd,trigger,desired_outcome,current_workaround,dissatisfaction,interaction_required,capability_requirements,disqualifiers,solution_mentioned,adoption_or_result,willingness_signal,engagement_metadata,vendor_authored,duplicate_group,qualification_status,exclusion_reason,relevance_0_5,confidence,jtbd_cluster,notes
E-001,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Adding-HTML-Directly-in-Confluence-Pages/qaq-p/3240107,Solved: Adding HTML Directly in Confluence Pages,unknown,cloud,user,unknown,Confluence Cloud page author / space admin,question,Atlassian removed the native HTML macro from Confluence Cloud because allowing arbitrary HTML and JavaScript injection opens serious cross-site scripting (XSS) risks.,adding HTML directly in Confluence pages; why the ability was removed,"When I want richer/custom presentation on a Confluence Cloud page than the editor allows, I want to add HTML directly to the page, so I can control layout and behaviour without leaving Confluence.",user tried to put raw HTML into a Cloud page and found no native mechanism,render custom HTML inline on the page,Marketplace apps that render HTML inside a sandboxed iframe (HTML by Mosaic named in the thread),unknown,unknown,render arbitrary HTML inline on a Cloud page; sandboxed execution acceptable to Atlassian security posture,none observed,HTML by Mosaic; sandboxed-iframe Marketplace macros,answered with third-party sandboxed-iframe apps; thread notes native return is unlikely without a sandboxed solution,unknown,marked Solved; counts not visible in snippet,no,D-01,qualified,,4,observed-in-search-snippet,J02,High thread ID (3.24M) indicates a recent (2026-era) post. Verbatim excerpt is answer-side text observed in the search summary; the asker's own wording was not visible in the snippet. Directly validates the 'sandboxed iframe' positioning of Mini Site for Confluence.
E-002,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/unknown-macro-html/qaq-p/2955052,unknown macro 'html' - Confluence,unknown,cloud,user,unknown,Confluence admin running a DC→Cloud migration,complaint,"the HTML Macro does not exist on Cloud, so the only option is to use apps",unknown macro 'html' appearing on pages after migration,"When my site is migrated from Data Center/Server to Confluence Cloud and pages now show 'unknown macro: html', I want a Cloud-side replacement that renders the same content, so I can stop shipping broken pages to my readers.",Server/DC → Cloud migration left HTML macro instances unrenderable,pages render as they did on DC/Server,install a third-party HTML macro app from Marketplace,broken macro placeholders on live pages post-migration,unknown,replace HTML-macro content post-migration; render on Cloud without a native macro,migration path implies bulk conversion of existing macro instances — a bundle-upload product does not auto-migrate them,HTML Macro for Confluence Cloud (Marketplace); an 'HTML Macro DC to Cloud Migration' guide,directed to Marketplace apps,unknown,unknown,no,,qualified,,4,observed-in-search-snippet,J03,"Thread ID ~2.96M suggests a 2025-era post. Migration is a recurring, well-funded trigger event — this is a distinct demand cluster from greenfield 'I want to embed a prototype'."
E-003,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Forge-migration-gap-No-equivalent-for-Connect-s/qaq-p/3201049,Forge migration gap: No equivalent for Connect's staticContentMacro rendering quality,2026-03-06,cloud,vendor,unknown,Marketplace app vendor / Forge developer migrating from Connect,feature_request,"CSP blocks nested iframes (embedded videos, document viewers gone), and no script execution (interactive macros like diagrams, task checkboxes dead).","iframe sandbox means no Confluence CSS, CSP blocks nested iframes, no script execution","When I must migrate my Connect Confluence app to Forge before Connect EOL, I want a Forge rendering mode with Connect-level fidelity (CSS, nested iframes, scripts), so I can ship interactive macro content without an iframe sandbox destroying it.","Connect reaching end-of-life in Q4 2026, forcing Forge migration","a Forge-native staticContentMacro equivalent, native storage-format rendering, or an extended AdfRenderer covering all ADF node types",Forge Custom UI (iframe) — described as inadequate,"explicit: iframe sandbox breaks panels, status macros, table styles, embedded videos, diagrams, task checkboxes",script execution and nested iframes inside the macro,script execution inside a macro; nested iframes permitted by CSP; inherit Confluence CSS,"this author wants to render Confluence storage-format/ADF with host-page CSS inheritance — Mini Site serves an isolated bundle and deliberately does NOT inherit host CSS or touch the host DOM. Adjacent pain, different product.",RFC-136: Forge staticView Macro for Confluence (Atlassian developer community),open; cross-referenced to Atlassian's RFC-136,unknown,posted 2026-03-06 per search summary; votes/replies not visible,yes,,excluded_from_demand,"vendor-authored: competitive/positioning context, not independent demand",2,observed-in-search-snippet,DIY,"candidate_lead=true — a named-in-public app vendor with a recurring, deadline-driven need and deep technical articulation of the CSP/iframe constraints Mini Site also lives inside. Useful as a technical-constraint informant even though their job is not the Mini Site job. Most recent artifact found (Mar 2026). Related Atlassian RFC: https://community.developer.atlassian.com/t/rfc-136-forge-staticvi"
E-004,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/How-to-upload-a-HTML-files-project-folder-with-sub-pages-and/qaq-p/2806119,How to upload a HTML files project folder with sub pages and supporting images to a confluence,unknown,unknown,user,unknown,technical writer / documentation owner with generated HTML output,question,You can upload a .zip file containing a folder (which becomes the space name) containing .html files.,upload a HTML files project folder with sub pages and supporting images,"When I have a multi-file HTML project folder with sub-pages and supporting images, I want to upload the whole folder into Confluence, so I can publish it to my team without hand-rebuilding every page.",has an existing multi-file HTML deliverable to get into Confluence,"the whole folder, links and images intact, viewable in Confluence","zip-import into a space (converts to Confluence pages, not a live site); copy-paste from the rendered static site; HTML→Word conversion then import",workarounds convert content into Confluence pages rather than preserving the site; links need post-migration fixing,multi-page navigation between the uploaded HTML files; images resolve relative to pages,multi-file bundle upload; relative link/asset resolution across files; sub-page navigation preserved,none observed,Confluence Cloud HTML zip import; All-in-One File Importer for Confluence; HTML for Confluence,answered with zip-import and copy-paste workarounds; no live-site option offered,unknown,unknown,no,D-02,qualified,,4,observed-in-search-snippet,J01,"Closest match found to the exact Mini Site job (multi-file folder, sub-pages, relative assets). The gap the answers reveal — every workaround flattens the site into Confluence pages instead of serving it live — is the wedge."
E-005,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Render-HTML/qaq-p/2421345,Render HTML - Confluence,unknown,unknown,user,unknown,Confluence page author,question,the only way to add that type of content is through iframes with the content hosted outside of Confluence,render HTML,"When I want HTML, JS and CSS to render on a Confluence page, I want a way to do it inside Confluence, so I don't have to stand up and maintain external hosting just to show a page.",wants HTML/JS/CSS content on a page,the HTML renders inline,iframe pointing at externally hosted content,"implicit — external hosting is required, which is the cost Mini Site removes",JS execution,HTML + JS + CSS execution; no external hosting to maintain,none observed,HTML Macro for Confluence (Marketplace),answered with a Marketplace HTML macro,unknown,unknown,no,D-03,qualified,,4,observed-in-search-snippet,J02,The 'you must host it outside Confluence yourself' answer is the strongest recurring articulation of the hosting burden Mini Site absorbs. Thread ID ~2.42M suggests ~2023.
E-006,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Migrating-Confluence-DC-to-Cloud-HTML-macro/qaq-p/2245372,Solved: Migrating Confluence DC to Cloud - HTML macro,unknown,cloud,user,unknown,migration lead / Confluence admin,question,"on Cloud, HTML Macro does not exist, and Atlassian has no HTML based tool in cloud due to security risks",migrating several instances of the HTML Macro from DC,"When I am migrating Confluence DC to Cloud and have several instances of the HTML Macro in my content, I want a Cloud equivalent, so I can complete the migration without losing those pages.",DC → Cloud migration project,HTML macro content survives the migration,third-party Marketplace apps; contact the app vendor,unknown,unknown,Cloud-side HTML macro replacement; bulk handling of existing macro instances,none observed,third-party apps (unnamed in snippet),pointed to Marketplace apps,unknown,marked Solved; described in search summary as a follow-up to a 2021 post,no,D-04,qualified,,4,observed-in-search-snippet,J03,historical=true inferred from the search summary calling it a follow-up to a 2021 post and from the low thread ID; exact date not observed.
E-007,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/HTML-macro-Confluence-Server-to-iFrame-macro-Confluence-Cloud/qaq-p/1881224,HTML macro (Confluence Server) to iFrame macro (Confluence Cloud) - migration plan,unknown,cloud,user,unknown,migration planner,question,"The iFrame macro is only part of Server and Data Center, atlassian has no HTML based tool in cloud due to security risks.",migration plan from HTML macro (Server) to iFrame macro (Cloud),"When I plan a Server→Cloud migration and my pages depend on the HTML macro, I want to know what Cloud macro to convert them to, so I can write a migration plan that doesn't break content.",Server → Cloud migration planning,a documented macro-to-macro conversion path,iframe macro / third-party apps,user's assumed target (iFrame macro) turns out not to exist natively on Cloud either,unknown,Cloud replacement for Server HTML macro,none observed,iFrame macro; third-party Marketplace apps,unknown,unknown,appeared as the top result for four separate queries — high search visibility / evergreen traffic,no,,qualified,,4,observed-in-search-snippet,J03,historical=true inferred from low thread ID (~1.88M); exact date not observed. Notable that this thread ranks first across many phrasings — it is a canonical landing page for this pain.
E-008,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/embed-html-into-a-confluence-page/qaq-p/2054733,Solved: embed html into a confluence page,unknown,cloud,user,unknown,Confluence Cloud page author,question,HTML macro is not available in Confluence cloud.,embed html into a confluence page,"When I have HTML I want to show on a Confluence page, I want to embed it into the page, so the content displays in place rather than as an attachment or link.",unknown,HTML rendered inline on the page,Marketplace add-ons (HTML & Iframe Macro for Confluence named),unknown,unknown,inline HTML rendering on Cloud,none observed,HTML & Iframe Macro for Confluence; AURA Content Formatting Macros,answered with Marketplace apps,unknown,marked Solved; recurred across five of my queries,no,,qualified,,4,observed-in-search-snippet,J02,WebFetch on this URL returned HTTP 403 (blocked) — all detail here is from search-result summaries. historical=true inferred from thread ID (~2.05M); exact date not observed.
E-009,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/HTML-macro-on-Confluence-Cloud/qaq-p/1318974,Solved: HTML macro on Confluence Cloud?,unknown,cloud,user,unknown,"Confluence Cloud user, likely ex-Server",question,Confluence Cloud does not permit the HTML macro as it's a security vulnerability to allow users the ability to add things like external javascript.,is there an HTML macro on Confluence Cloud,"When I move to Confluence Cloud and look for the HTML macro I used before, I want to know whether it exists, so I can decide whether to buy an app or change my approach.",looked for the macro and could not find it,enable/use an HTML macro,third-party vendors offering HTML macros,unknown,external JavaScript is explicitly the thing Atlassian blocks,run JavaScript safely on a Cloud page,none observed,Marketplace HTML macros; Macro for Toolbox Cloud (secure HTML macro),answered with Marketplace apps,unknown,marked Solved,no,D-05,qualified,,4,observed-in-search-snippet,J02,The clearest statement of Atlassian's stated security rationale — the exact objection Mini Site's isolated sandbox + secret scanning answers. historical=true inferred from thread ID (~1.32M); exact date not observed.
E-010,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Atlassian-Cloud-how-to-add-custom-javascript-or-html-for-an/qaq-p/941069,Atlassian Cloud - how to add custom javascript or html for an embedded iframe,unknown,cloud,user,unknown,Confluence Cloud user comparing against Server capabilities,question,Confluence Cloud does not offer native HTML and Javascript support without the addition of Add-On to Confluence.,how to add custom javascript or html for an embedded iframe,"When I want custom JavaScript or HTML driving an embedded iframe on Confluence Cloud, I want a supported way to add it, so I can build the interactive behaviour my team needs.",unknown,custom JS/HTML running on a Cloud page,Marketplace add-ons,explicit Cloud-vs-Server flexibility gap,custom JavaScript execution,custom JS execution; iframe embedding,"wants JS driving an iframe — if that means controlling the host page or a cross-origin frame, Mini Site's isolation would not satisfy it; not resolvable from the snippet",'a quick marketplace search shows there are 5 possible add-ons which enable HTML and Javascript',answered with add-on recommendations,unknown,unknown,no,D-06,qualified,,4,observed-in-search-snippet,J02,The 'Cloud and Server have different amounts of flexibility' framing recurs across the corpus and is the core migration-era grievance. historical=true inferred from very low thread ID (~941k); exact date not observed.
