cluster_id,primary_job,persona,funnel_stage,primary_query,query_variants,original_user_phrases,intent,serp_result_types_observed_2026-08-02,current_winners,volume,current_site_marketplace_coverage,overlap_cannibalization,recommended_asset,working_title,unique_promise,required_proof,cta,supporting_evidence_ids,content_priority,reason_not_to_create
C01,JTBD-01 publish multi-file bundle live,developer/tech-writer,consideration,upload html folder to confluence,"upload html files project folder confluence; publish html folder confluence; host html site in confluence","upload a HTML files project folder with sub pages and supporting images; can I upload a bulk of html files","implementation/how-to","5 community threads + 2 Atlassian support docs + native HTML Importer announcement; NO live-serving solution present","community.atlassian.com; support.atlassian.com",unknown (no keyword tool available; per brief marked unknown),"zenuml.com/mini-sites exists but is generic; Marketplace listing not indexed at all","none — no existing page targets this",PILLAR page + live demo bundle,"Upload a folder of HTML — get a live mini-site on your Confluence page","The importer converts your files into wiki pages; Mini Site runs them, unchanged, live","live demo page + downloadable sample folder + 60s video","try the demo / install from Marketplace","D-02; D-12; E-050; E-095; SERP-w2 'upload html folder'",P1,
C02,JTBD-01/04 publish generated output,developer/devops,consideration,publish generated HTML to Confluence,"embed generated report confluence; publish build output confluence; storybook confluence","my product generates a report as React UI; docs generated into S3","implementation","GitHub CI plugins + 3 community threads + native importer beta; conversion-only answers dominate","github.com; community.atlassian.com",unknown,none,shares intent with C01 — make C02 a supporting page under the C01 pillar to avoid cannibalization,supporting tutorial,"Publish your generated HTML report to Confluence — live, not converted","CI-friendly path from build output to a permissioned live page","tutorial + sample repo + (roadmap) API publish","read tutorial / join design-partner API beta","D-08; E-050; SERP-w2 'publish generated HTML'",P2,
C03,JTBD-02 snippet HTML restore,page author,awareness+comparison,embed html confluence,"confluence cloud html macro; html macro alternative confluence; add html to confluence page","adding HTML directly in Confluence pages; unknown macro html","informational/comparative","official DC docs + vendor (Appfire) docs + Marketplace listing + community; security-warning framing prominent","confluence.atlassian.com; appfire.atlassian.net; marketplace.atlassian.com",unknown,none,"HIGH cannibalization risk among C03/C04/C01 — one capability page + one comparison page only; route multi-file intent to C01",capability page + comparison page,"HTML on Confluence Cloud: what works in 2026 (and what broke)","honest capability map: snippet apps vs real files; where each fits","comparison table citing documented incumbent failure modes (uneditable macros, mangled markup, sizing)","see how folder publishing differs (link C01)","D-01; D-03; D-05; D-06; E-091; E-094; E-096-104; SERP-w2 'Confluence HTML macro review'",P1,
C04,JTBD-03 migration continuity,confluence admin (migrating),decision,unknown macro html confluence cloud,"confluence dc to cloud html macro; html macro migration cloud","pages now show unknown macro: html; cannot offer the same functionality as DC","troubleshooting/decision","community threads + vendor migration guides","community.atlassian.com; appfire",unknown,none,supports C03; do not create a second comparison,supporting guide,"Your HTML macro content after the Cloud migration: what survives, what cannot","expectation-honest guide: self-contained content survives (via bundles); page-DOM uses cannot (any vendor)","decision matrix + worked example","assess your macros / try with one page","E-002; D-04; E-007; E-092; E-093",P2,
C05,JTBD-15 AI-generated tool sharing,AI-assisted knowledge worker,awareness,share ai generated html app with team,"chatgpt html app confluence; publish claude artifact internally; share ai tool with team","my AI built this; how do I hand a colleague a link; team-only not public","emerging/implementation","marketplace listings + github + blog; Appfire already markets AI-paste; public-URL publishers dominate the generic query","marketplace.atlassian.com; github.com; handoff.host-class tools",unknown,none,distinct intent from C01 (artifact origin) — safe,PILLAR page + demo,"Your AI built it. Publish it where your team already works.","permission-inherited, secret-scanned, org-only — not another public URL","demo: paste-to-page flow + security explainer","try with an artifact / read security model","E-107; E-110; E-111; E-112; E-115-120; SERP-w2 'ChatGPT HTML app Confluence'",P1,
C06,JTBD-05 decision trees / flows,support/KB manager,consideration,decision tree confluence,"troubleshooting flow confluence; interactive guide confluence; branching questions confluence page","reader answers a question and sees the next step; support officer led step-by-step","feature-gap/implementation","3 community threads + Atlassian template page + diagram vendors; acknowledged native gap","community.atlassian.com; atlassian.com",unknown,none,none,supporting page + sample bundle (promote to pillar if 2nd source type appears),"Build a click-through troubleshooting flow on a Confluence page","branching logic without an app-builder: one folder, no external services","downloadable decision-tree sample + template","download the sample / tutorial","E-033; E-034; E-035; E-043; E-045; SERP-w2 'troubleshooting flow'",P2,
C07,JTBD-06 calculators,analyst/PM,consideration,calculator confluence macro,"custom calculator confluence; roi calculator confluence page","values recalculate dynamically; readers type values and see results","implementation","community + Stiltsoft docs + support docs; engine rewrites toward table formulas","docs.stiltsoft.com; community.atlassian.com",unknown,none,"cannibalization risk vs Stiltsoft-owned table-formula intent — say 'custom calculator tool' explicitly",supporting example on C01 pillar only,"A custom calculator widget on your Confluence page","bespoke logic/UI beyond table formulas","embedded live calculator example",try the sample,"E-036; E-037; E-038; E-081; SERP-w2 'calculator'",P3,evidence all historical — do not build a dedicated page until fresh demand appears
C08,JTBD-02 iframe pain rescue,page author,troubleshooting,confluence iframe not working,"iframe refused to connect confluence; confluence embed height problem","refused to connect; double scrollbars; height cut off","troubleshooting","official KBs + community + Forge CSP posts","confluence.atlassian.com; support.atlassian.com",unknown,none,supports C03,supporting troubleshooting page,"When the iframe macro fails: X-Frame-Options, sizing, and what actually works","self-hosted bundles don't depend on someone else's embed headers","failure-mode table + demo","see the alternative (C01)","E-011; E-096; E-097; E-098; SERP-w2 'iframe not working'",P2,
C09,JTBD-08 live BI dashboards,analyst/SRE,n/a,interactive dashboard confluence,"grafana confluence embed; tableau confluence; power bi confluence","dashboard visible and refreshing in the wiki","comparative","BI/reporting vendors dominate (Appfire eazyBI); different JTBD (live external data)","appfire.com; eazybi.com",unknown,none,n/a,DO NOT CREATE,,,,,"D-09; E-016; E-024; E-030; SERP-w2 'interactive dashboard'",P4,capability-disqualified (CSP blocks external data); would promise what product cannot do — route to limits page instead
C10,JTBD-09 database views,ops/PM,n/a,database view confluence notion,"notion database confluence equivalent","automatically updating database-like views","native-feature lookup","Atlassian native Databases + comparison content dominate","atlassian.com; support.atlassian.com",unknown,none,n/a,DO NOT CREATE,,,,,"S4; E-017-020; SERP-w2 'database view'",P4,native feature owns the intent; fighting Atlassian's roadmap
