cluster_id,seed_queries,intent,mapped_jtbd,serp_notes,page_type,proof_needed,cta,priority_0_5,cannibalization_risk,notes
C01_multifile_local_html,embed local HTML in Confluence; embed HTML folder Confluence Cloud; multi-file HTML Confluence; display local html file confluence iframe; static HTML content Confluence Cloud,transactional+implementation,JTBD-01,SERP mix: Community (E003 E016 E075 E110) + SO attachment/iframe hacks + Marketplace HTML macros; Google often rewrites to HTML macro / iframe. Atlassian docs do not offer folder hosting.,pillar,Live demo of folder upload; sample zip with relative CSS/JS; before/after vs path rewrite (E022); limits page (no egress),Try sample bundle → Marketplace trial,5,medium — overlaps C04 reports and C02 AI if titles vague,PRIMARY PILLAR. Own language: multi-file / folder / relative paths / no public URL. Evidence: E016 E022 E031 E075 E110 E118.; SITE: https://zenuml.com/embed-html-in-confluence/ (+ /mini-sites/)
C02_ai_html_publish,publish ChatGPT HTML to Confluence; Claude HTML Confluence embed; AI generated dashboard Confluence; vibe code Confluence widget; paste AI HTML Confluence,commercial+implementation,JTBD-02,Vendors (Narva AI copy E034; OST vibe-code E074; Mosaic prompt blog E030) dominate SERP; weak independent how-tos. Opportunity: packaging checklist (bundle CDNs) differentiated from paste macros.,pillar,Claude→folder publish tutorial; CDN-self checklist; decision-tree sample inspired by E047 pattern (no customer PII); sandbox limits,Download AI-ready sample → publish guide,4,high vs C01 if both say 'embed HTML' — differentiate 'AI-built tool' vs 'folder hosting',CO-WEDGE PILLAR. Fair: do not claim exclusive AI. Discount solicited review prevalence. Evidence: E042 E047 E060 E061 E089 E095.; SITE: https://zenuml.com/publish-chatgpt-html-to-confluence/ (DRAFT in docs/website — land on ZenUml/docs)
C03_cloud_html_migration,Confluence Cloud HTML macro; enable HTML macro Confluence Cloud; unknown macro html Confluence; HTML macro Server to Cloud migration; Confluence Cloud embed HTML alternative,troubleshooting+commercial,JTBD-05,High Community volume (E014 E048 E066 E075); Marketplace incumbents answer. Migration guides rank; Atlassian explains security removal of native HTML.,pillar,Migration decision tree: iframe URL vs snippet macro vs multi-file Mini Site; security comparison table; when NOT to use Mini Site (DOM/live BI),See which path fits → Marketplace,4,high vs Narva/Appfire comparison pages — keep migration canonical here,ACQUISITION PILLAR not category ownership. Convert multi-file survivors to C01. Evidence: E014 E048 E057 E066 E032.; SITE: https://zenuml.com/confluence-cloud-html-macro/ (DRAFT)
C04_allure_static_report,Allure report Confluence; embed Allure HTML Confluence; JUnit HTML report Confluence; TestRail report Confluence; CI HTML report embed Confluence; static test report Confluence,implementation+transactional,JTBD-04,SO dominates (E022 E073 E113 E115); Community JUnit (E049). Relative-path 404 is distinctive pain. Low Marketplace competition on 'Allure' specifically.,pillar,Allure (or generic static report) sample published on Confluence; CI publish outline; contrast Azure host+iframe,Publish sample report → docs,5,low if titled for reports — supports C01 without competing,VERTICAL OF C01. Strong whitespace. Evidence: E022 E049 E053 E073 E113 E115.; SITE: https://zenuml.com/embed-allure-report-in-confluence/ (DRAFT)
C05_prototype_export,embed prototype in Confluence; clickable prototype Confluence; export HTML prototype Confluence; Claude mockup Confluence; Framer HTML Confluence; Figma alternative embed Confluence HTML,commercial+comparison,JTBD-03,Figma Live Embeds / Smart Links win most SERPs (E068); Community Figma threads (E021 E033). Gap: non-Figma / exported HTML / viewer-account friction (E069). Framer+ dormant (E079).,supporting,Side-by-side: Figma Smart Link vs exported HTML mini-site; checkout-widget style sample (language from E041 without copying vendor claims),View prototype sample,3,medium vs C02 AI mockups — merge if thin traffic,SUPPORTING. Never claim replace Figma. Evidence: E041 E068 E069 E079 E095.
C06_vs_narva_appfire,Narva HTML Macro vs; Appfire HTML Macro Confluence review; best HTML macro Confluence Cloud; HTML Macro Pro vs; Confluence HTML macro comparison,comparison,JTBD-01+05,Marketplace listings + review tabs dominate; affiliate sparse. Must be fair dated (2026-08-02): Narva ~2345 installs 5★/31; Appfire 1780 3.6★/36; OST ~1795; Mini Sites 1 install 0 reviews — installs ≠ paid actives.,supporting,Capability matrix: input model (snippet/file/folder) · egress · relative paths · isolation · AI workflow · pricing link-out; quote review themes not installs-as-customers,Compare features → try folder demo,3,high if over-claims 'best' — risk Marketplace policy / trust,"CAREFUL FAIR COMPARISON. Lead with fit scenarios not smear. Evidence: E007 E008 E034 E074 E082 E096 C02m/C03m.; SITE: https://zenuml.com/best-html-macro-alternative-for-confluence/ (live, updated draft)"
C07_security_sandbox,Confluence HTML macro security; Confluence Cloud HTML sandbox; forge HTML macro isolation; safe embed JavaScript Confluence; Confluence CSP HTML macro; HTML macro no parent DOM,informational+trust,JTBD-13,Vendor security pages (E120 E123) + Community skepticism (E032) + Narva 'limitations understandable' (E070). Admins search limits before approve.,supporting,Explicit limits: connect-src self; no host DOM; secret scan; page permissions; what to bundle; what Mini Site will not do,Read security & limits → admin checklist,4,low — unique trust URL; link from all pillars,TRUST PILLAR required for paid JS apps. Evidence: E001 E013 E029 E032 E070 E120 E123.; SITE: https://zenuml.com/mini-sites-security-and-limits/ (DRAFT)
C08_calculator_longtail,calculator macro Confluence; interactive formula Confluence; embed calculator HTML Confluence; ROI calculator Confluence page,informational+long-tail,JTBD-07,Thin SERP; Community formula ask (E051); Table Filter owns spreadsheet formulas (E052 E012). Easy demo; low strategic value alone.,supporting,One calculator sample as AI/static example; disambiguate vs Table Filter spreadsheets,Open calculator sample,2,low if clearly example under tools — do not create formula-app category,LONG-TAIL EXAMPLE only. Calculator was listing illustration — not validated segment. Evidence: E051 E052.
C09_plotly_d3_viz,embed Plotly Confluence; D3.js Confluence embed; interactive chart HTML Confluence; plotly iframe Confluence,implementation,JTBD-06,SO-led (E045 E065 E127). Competitors: Table Filter for table charts; Tableau for live BI. Static bundled viz is whitespace.,supporting,Plotly single-folder sample with bundled data; note no live API refresh,Try Plotly sample,3,medium vs C04 if both say interactive report — title with Plotly/D3,Supports C01 proof diversity. Evidence: E045 E065 E127.; SITE: https://zenuml.com/embed-plotly-in-confluence/ (DRAFT)
C10_iframe_vs_folder,Confluence iframe macro HTML file; confluence attachment iframe downloads; embed HTML without public URL Confluence; confluence HTML include relative path 404,troubleshooting,JTBD-01+12,SO/Community workaround threads (E072 E110 E022); iframe how-tos on YouTube (E116 E125). High intent when local file fails.,supporting,Troubleshooting guide: why attachment iframe fails; why relative paths 404; folder-host alternative,Fix broken embed → sample,4,medium vs C01 — make this support article canonically linked from C01,ACTIVATION / SEO capture for failed workarounds. Evidence: E022 E072 E076 E110.; SITE: https://zenuml.com/fix-broken-html-embed-in-confluence/ (DRAFT)
